URL,Content Type,Size (bytes),# of outlinks
"https://www.latimes.com/gift-subscription-terms
","text/html
","290352
","160
"
"https://www.latimes.com/california/story/2022-02-03/l-a-county-to-nix-masks-outdoors-once-covid-stats-improve
","text/html
","289093
","160
"
"https://www.latimes.com/topic/editorials
","text/html
","180337
","143
"
"https://www.latimes.com/about/virtual-events
","text/html
","375426
","168
"
"https://www.latimes.com/about/studios
","text/html
","255212
","150
"
"https://www.latimes.com/entertainment/la-et-sunnylands-estate-20160215-story.html
","text/html
","306434
","166
"
"https://www.latimes.com/california/story/2022-02-16/california-still-strongly-recommends-masks-as-order-eases
","text/html
","244920
","147
"
"https://www.latimes.com/sports/angels/story/2022-02-15/former-angels-matt-harvey-testify-getting-oxycodone-eric-kay-trial
","text/html
","287135
","161
"
"https://www.latimes.com/california/story/2022-02-16/super-bowl-champion-rams-parade-is-today-in-l-a
","text/html
","263436
","151
"
"https://www.latimes.com/world-nation/story/2022-02-15/u-s-prosecutors-ensnare-former-honduran-president-on-drug-trafficking-charges
","text/html
","254409
","151
"
"https://www.latimes.com/opinion/story/2021-12-19/california-greenhouse-gas-reduction
","text/html
","251184
","146
"
"https://www.latimes.com/california/story/2022-02-15/l-a-county-will-lift-outdoor-mask-mandate-wednesday?_amp=true
","text/html
","253039
","136
"
"https://www.latimes.com/california/story/2021-04-19/the-times-podcast?utm_source=on_site&utm_medium=homepagebarker&utm_campaign=the_times
","text/html
","279094
","144
"
"https://www.latimes.com/about/pressreleases
","text/html
","234785
","97
"
"https://www.latimes.com/espanol/internacional/articulo/2022-02-16/gran-bretana-ofrecera-vacuna-contra-covid-a-ninos-de-5-a-11-anios
","text/html
","251704
","148
"
"https://www.latimes.com/california/story/2022-02-16/rams-house-hollywood-sign-change-illegible
","text/html
","241301
","145
"
"https://www.latimes.com/sports/soccer/story/2022-02-15/qatar-excited-to-welcome-and-show-world-its-transformation-during-world-cup
","text/html
","269627
","157
"
"https://www.latimes.com/lifestyle/story/2022-02-16/modernism-week-2022-palm-springs?_amp=true
","text/html
","229964
","146
"
"https://www.latimes.com/sports/highschool/story/2022-02-15/alyssa-thompson-selected-usa-under-20-womens-soccer-team
","text/html
","254283
","144
"
"https://www.latimes.com/world-nation/story/2022-02-16/canada-ottawa-vaccine-mandate-protests-image
","text/html
","280984
","154
"
"https://www.latimes.com/obituaries
","text/html
","252697
","149
"
"https://www.latimes.com/science/story/2022-02-02/covid-vaccines-for-kids-under-5
","text/html
","257866
","152
"
"https://www.latimes.com/opinion/story/2022-02-16/sundance-muslims-documentary-film-middle-east
","text/html
","233308
","615
"
"https://www.latimes.com/newsroom-directory
","text/html
","245144
","147
"
"https://www.latimes.com/sports/angels/story/2022-02-16/eric-kay-will-not-testify-in-his-defense-angels-tyler-skaggs-death
","text/html
","366939
","153
"
"https://www.latimes.com/california/story/2022-01-27/california-pot-industry-social-equity-broken-promises
","text/html
","273970
","148
"
"https://www.latimes.com/lifestyle/story/2022-02-14/la-daters-share-ghosting-stories-valentines-day
","text/html
","243501
","146
"
"https://www.latimes.com/sports/dodgers/story/2022-02-15/mlb-lockout-cactus-league-spring-training-arizona-dodgers-angels
","text/html
","1048576
","224
"
":54.356 [Crawler 2] WARN edu.uci.ics.crawler4j.crawler.WebCrawler - Warning: unknown page size exceeded max-download-size, truncated to: (1048576), at URL: https://www.latimes.com/sports/olympics/liveblog/2022-winter-olympics-beijing-live-updates-results-tv-schedule
","text/html
","262422
","148
"
"https://www.latimes.com/sports/olympics/liveblog/2022-winter-olympics-beijing-live-updates-results-tv-schedule
","text/html
","254126
","146
"
"https://www.latimes.com/entertainment-arts/music/story/2022-02-15/coachella-stagecoach-drop-vaccination-masking-requirements-entry
","text/html
","261164
","142
"
"https://www.latimes.com/opinion/story/2022-02-16/kamila-valieva-olympics-drug-tests-doping
","text/html
","6488
","10
"
"https://www.latimes.com/food/story/2022-02-11/bacetti-trattoria-echo-park-italian-roman-bill-addison
","text/html
","505517
","11
"
"https://www.latimes.com/subscriptions/digital-only.html?pid_campaigns=7444_MTRDigitalWB2%2C7445_MTRDigitalWB2
","text/html
","391833
","131
"
"https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/embedVaccines/
","text/html
","170813
","130
"
"https://www.latimes.com/travel/story/2021-11-03/desert-hours-insta-mirages
","text/html
","211234
","135
"
"https://www.latimes.com/about
","text/html
","218241
","132
"
"https://www.latimes.com/games/sudoku
","text/html
","219919
","131
"
"https://www.latimes.com/people/houston-mitchell
","text/html
","250522
","150
"
"https://www.latimes.com/people/the-times-editorial-board
","text/html
","375498
","158
"
"https://www.latimes.com/science/story/2022-02-15/covid-19-vaccine-in-pregnancy-may-protect-babies-after-birth
","text/html
","273599
","151
"
